team_a,team_b,favourite,p_favourite,advanced,correct
GER,PAR,GER,0.759475830752817,PAR,False
FRA,SWE,FRA,0.8056324990341248,FRA,True
RSA,CAN,CAN,0.7722434142335662,CAN,True
NED,MAR,NED,0.5718600891894033,MAR,False
POR,CRO,POR,0.6313940572735631,POR,True
ESP,AUT,ESP,0.7865603175364502,ESP,True
USA,BIH,USA,0.6440350791601295,USA,True
BEL,SEN,BEL,0.6219737907753903,BEL,True
BRA,JPN,BRA,0.7166075405533218,BRA,True
CIV,NOR,NOR,0.5981252490733293,NOR,True
MEX,ECU,ECU,0.5435714217752424,MEX,False
ENG,COD,ENG,0.8379541111987804,ENG,True
ARG,CPV,ARG,0.9354817115008351,ARG,True
AUS,EGY,EGY,0.5486400852418856,EGY,True
SUI,ALG,SUI,0.5738214404109369,SUI,True
COL,GHA,COL,0.7824458583308264,COL,True
PAR,FRA,FRA,0.8345862291450536,FRA,True
CAN,MAR,MAR,0.6590514095037736,MAR,True
POR,ESP,ESP,0.6078414577564925,ESP,True
USA,BEL,BEL,0.678918761309647,BEL,True
BRA,NOR,BRA,0.6939003368913849,NOR,False
MEX,ENG,ENG,0.7422568125363775,ENG,True
ARG,EGY,ARG,0.8458353359480468,ARG,True
SUI,COL,COL,0.5400567121261006,SUI,False
FRA,MAR,FRA,0.6994048605738312,FRA,True
ESP,BEL,ESP,0.6790604657585032,ESP,True
NOR,ENG,ENG,0.6716096189852112,ENG,True
ARG,SUI,ARG,0.7020037590362713,ARG,True
FRA,ESP,ESP,0.5185664690786929,ESP,True
ENG,ARG,ARG,0.5523217370295814,ARG,True
FRA,ENG,FRA,0.5721126665682504,ENG,False
ESP,ARG,ESP,0.5385048608217361,ESP,True
